"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Age in Years","Year","Deaths","Population","Crude Rate"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","9","","38","1474595","2.58"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","9","2020","18","342422","5.26"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","9","","18","342422","5.26"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","9","2020","0","39747","0"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","9","","0","39747","0"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","9","2020","2","135953","1.47"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","9","","2","135953","1.47"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","10","2020","81","1549284","5.23"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","10","","81","1549284","5.23"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","10","2020","31","351929","8.81"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","10","","31","351929","8.81"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","10","2020","4","39608","10.1"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","10","","4","39608","10.1"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","10","2020","2","138387","1.45"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","10","","2","138387","1.45"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","10","2020","46","1482710","3.1"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","10","","46","1482710","3.1"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","10","2020","17","340459","4.99"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","10","","17","340459","4.99"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","10","2020","4","38812","10.31"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","10","","4","38812","10.31"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","10","2020","3","132984","2.26"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","10","","3","132984","2.26"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","11","2020","110","1551478","7.09"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","11","","110","1551478","7.09"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","11","2020","48","352911","13.6"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","11","","48","352911","13.6"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","11","2020","2","39042","5.12"
"Males","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","11","","2","39042","5.12"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","11","2020","7","134355","5.21"
"Males","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","11","","7","134355","5.21"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","11","2020","53","1484832","3.57"
"Females","White","United States","Both","All Ages","2020","2020","All Injury","11","","53","1484832","3.57"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","11","2020","17","342366","4.97"
"Females","Black","United States","Both","All Ages","2020","2020","All Injury","11","","17","342366","4.97"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","11","2020","3","38014","7.89"
"Females","Am Indian/AK Native","United States","Both","All Ages","2020","2020","All Injury","11","","3","38014","7.89"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","11","2020","3","129996","2.31"
"Females","Asian/Pac Islander","United States","Both","All Ages","2020","2020","All Injury","11","","3","129996","2.31"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","12","2020","134","1601911","8.37"
"Males","White","United States","Both","All Ages","2020","2020","All Injury","12","","134","1601911","8.37"
"Males","Black","United States","Both","All Ages","2020","2020","All Injury","12","2020","42","363003","11.57"
